origin,latitude_o,longitude_o,destination,latitude,longitude,value2
Australia,-25.2744,133.7751,Canada,56.1304,-106.3468,2986.686
Australia,-25.2744,133.7751,China,35.8617,104.1954,360860.188
Australia,-25.2744,133.7751,France,46.6033,1.8883,1298.38
Australia,-25.2744,133.7751,Germany,51.1657,10.4515,1380.012
Australia,-25.2744,133.7751,Hong Kong,22.3193,114.1694,225023.021
Australia,-25.2744,133.7751,Indonesia,-0.7893,113.9213,18937.192
Australia,-25.2744,133.7751,Italy,41.8719,12.5674,3983.853
Australia,-25.2744,133.7751,Japan,36.2048,138.2529,177432.777
Australia,-25.2744,133.7751,Malaysia,4.2105,101.9758,6220.206
Australia,-25.2744,133.7751,New Zealand,-40.9006,174.886,21885.405
Australia,-25.2744,133.7751,Singapore,1.3521,103.8198,39206.971
Australia,-25.2744,133.7751,Taiwan,23.6978,120.9605,56961.889
Australia,-25.2744,133.7751,Thailand,15.87,100.9925,38918.556
Australia,-25.2744,133.7751,United States,39.8333,-98.5855,101323.095
Australia,-25.2744,133.7751,Vietnam,14.0583,108.2772,70545.233
